	Jaak Joala	Urmas Alender
1608071572	1	0
1608073036	1	0
1608074377	1	0
1608076411	1	0
1608094639	1	0
1608109690	1	0
1608180532	1	0
1608382871	1	0
1608461513	1	0
1608464777	1	0
1608592474	1	0
1608651775	1	0
viita	1	0
Infokast	1	0
soolo_laulja	1	1
sünninimi	1	1
sünniaeg	2	1
Sünniaeg	2	1
sünnikoht	1	1
surmaaeg	2	1
Surmaaeg	2	1
vanus	1	1
surmakoht	1	1
pill	1	1
hääleliik	1	1
bariton	1	1
amet	1	0
pop	1	2
pedagoog	1	2
Elulugu	1	0
kasvas	1	2
muusikute	2	0
perekonnas	1	1
lõpetas	1	0
Konservatoorium	1	1
riikliku	2	1
konservatooriumi	1	1
koorijuhtimise	1	1
erialal	1	0
töötas	1	0
koolides	1	1
muusikaõpetajana	1	1
Riiklikus	1	0
Filharmoonias	1	0
kontsertloengute	1	0
lektorina	1	0
muusikust	1	0
hilisemas	1	0
tervendaja	1	0
Seitsmeaastaselt	1	0
klaver	1	0
Tänu	2	1
muusikaarmastusele	1	1
võeti	1	0
teda	1	1
sageli	1	1
sümfoonia	1	0
kammermuusika	1	0
kontsertidele	1	0
ooper	1	0
ietendustele	1	1
Pelgulinn	1	0
poisina	1	0
kooliteed	1	0
Pelgulinna	1	0
Gümnaasium	1	0
jätkas	1	1
uue	1	0
koolimaja	1	0
valmides	1	0
Keskkool	1	0
Seal	1	2
vaimustus	1	0
kart	1	0
kardisõidust	1	0
kartide	1	0
ehitamisest	1	0
jäähoki	1	0
st	1	0
poisteansamblites	1	0
lõpetamist	1	0
soovil	1	0
flöödimängu	1	0
algul	1	0
Muusikakeskkool	1	0
muusikakeskkoolis	1	1
seejärel	1	1
Georg	1	2
Otsa	2	0
muusikakoolis	1	0
muusikukarjäär	1	0
biitansamblis	1	0
flööti	1	0
Undi	1	0
lahkumist	1	0
esimesed	1	0
helilindistused	1	1
ansambliga	1	0
kümmekond	1	1
basskitarri	1	0
ansamblis	1	0
kellega	1	1
sisse	1	0
tea	1	1
Taas	1	0
Sellesse	2	1
jäävad	1	0
esinemised	1	0
populaarsetes	1	0
Kanal	1	0
kasvav	1	0
kuulsus	2	0
Sõjaväeteenistus	1	0
möödus	1	0
Joalal	1	0
Tondi	1	0
sõjaväeorkestris	1	0
mängides	1	0
käia	1	0
helisalvestustel	1	0
esinemas	1	0
jäädvustas	1	0
lemmiku	1	0
sõdurpoisi	1	0
argipäevast	1	0
noortesaate	1	0
filmilõike	1	0
telefilmis	1	0
Tantsugalerii	1	0
Kuulsuse	1	0
ahelad	1	0
osutus	1	0
edasist	1	1
lauljakarjääri	1	0
silmas	1	0
pidades	1	0
ettekuulutavaks	1	0
püsti	1	0
Aastatega	1	0
laienes	1	0
repertuaar	1	0
muutudes	1	0
sisu	1	0
vokaali	1	0
nõudlikumaks	1	0
kuulasid	1	0
meelsasti	1	0
noored	1	0
vanad	1	0
auhindu	1	0
lauluvõistlustel	1	0
festivalidel	1	0
võidukas	1	0
Tippmeloodia	1	0
niisamuti	1	0
Rostock	1	0
Vilnius	1	0
es	1	0
anti	1	1
auhinnad	1	1
ühel	1	0
lauljal	1	0
üldse	1	0
saada	1	1
kahel	1	0
Sopot	1	0
üks	1	0
nõutumaid	1	1
lauljaid	1	0
nende	2	0
heliloojate	1	0
seas	1	0
loomingut	1	1
kirjutanud	1	1
Gennadi	1	0
Taniel	1	1
Tammik	1	0
Rannap	1	0
Ignatjev	1	1
David	1	0
Tuhmanov	1	1
Aleksandr	1	0
Zatsepin	1	0
Reznikov	1	0
Matetski	1	0
vana	2	0
aastaõhtul	1	2
esietendus	1	0
programmis	1	0
muusikaline	2	0
telefilm	2	0
kõlas	1	0
neli	1	0
tohutu	1	0
populaarsuse	1	0
Hiiglaslikud	1	0
kultuuripaleed	1	0
puupüsti	1	0
ainsas	1	0
plaadifirmas	1	0
vermitud	1	0
Vinüülplaat	1	0
vinüülplaadid	1	0
defitsiit	1	0
kremli	2	0
oobik	1	0
käis	1	0
kontsertreisidel	1	0
pidupäevakontsertidel	1	0
Lisaks	1	0
osales	1	1
muusikafilmides	1	1
Olümpiaregati	1	0
tähed	1	0
Hommikune	1	0
post	1	0
Kutsuv	1	0
tuluke	1	0
